"","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","Population"
"185",356,"IN","IND",356,NA,NA,NA,"India",20.593684,78.96288,"India",1380004385
"186",35601,"IN","IND",356,NA,NA,"Andaman and Nicobar Islands","India",11.225999,92.968178,"Andaman and Nicobar Islands, India",417036
"187",35602,"IN","IND",356,NA,NA,"Andhra Pradesh","India",15.9129,79.74,"Andhra Pradesh, India",53903393
"188",35603,"IN","IND",356,NA,NA,"Arunachal Pradesh","India",27.768456,96.384277,"Arunachal Pradesh, India",1570458
"189",35604,"IN","IND",356,NA,NA,"Assam","India",26.357149,92.830441,"Assam, India",35607039
"190",35605,"IN","IND",356,NA,NA,"Bihar","India",25.679658,85.60484,"Bihar, India",124799926
"191",35606,"IN","IND",356,NA,NA,"Chandigarh","India",30.733839,76.768278,"Chandigarh, India",1158473
"192",35607,"IN","IND",356,NA,NA,"Chhattisgarh","India",21.264705,82.035366,"Chhattisgarh, India",29436231
"193",35608,"IN","IND",356,NA,NA,"Dadra and Nagar Haveli and Daman and Diu","India",20.194742,73.080901,"Dadra and Nagar Haveli and Daman and Diu, India",615724
"194",35609,"IN","IND",356,NA,NA,"Delhi","India",28.646519,77.10898,"Delhi, India",18710922
"195",35610,"IN","IND",356,NA,NA,"Goa","India",15.359682,74.057396,"Goa, India",1586250
"196",35611,"IN","IND",356,NA,NA,"Gujarat","India",22.694884,71.590923,"Gujarat, India",63872399
"197",35612,"IN","IND",356,NA,NA,"Haryana","India",29.20004,76.332824,"Haryana, India",28204692
"198",35613,"IN","IND",356,NA,NA,"Himachal Pradesh","India",31.927213,77.233081,"Himachal Pradesh, India",7451955
"199",35614,"IN","IND",356,NA,NA,"Jammu and Kashmir","India",33.75943,76.612638,"Jammu and Kashmir, India",13606320
"200",35615,"IN","IND",356,NA,NA,"Jharkhand","India",23.654536,85.557631,"Jharkhand, India",38593948
"201",35616,"IN","IND",356,NA,NA,"Karnataka","India",14.70518,76.166436,"Karnataka, India",67562686
"202",35617,"IN","IND",356,NA,NA,"Kerala","India",10.450898,76.405749,"Kerala, India",35699443
"203",35618,"IN","IND",356,NA,NA,"Ladakh","India",34.1526,77.5771,"Ladakh, India",274289
"204",35619,"IN","IND",356,NA,NA,"Madhya Pradesh","India",23.541513,78.289633,"Madhya Pradesh, India",85358965
"205",35620,"IN","IND",356,NA,NA,"Maharashtra","India",19.449759,76.108221,"Maharashtra, India",123144223
"206",35621,"IN","IND",356,NA,NA,"Manipur","India",24.738975,93.882541,"Manipur, India",3091545
"207",35622,"IN","IND",356,NA,NA,"Meghalaya","India",25.536934,91.278882,"Meghalaya, India",3366710
"208",35623,"IN","IND",356,NA,NA,"Mizoram","India",23.309381,92.83822,"Mizoram, India",1239244
"209",35624,"IN","IND",356,NA,NA,"Nagaland","India",26.06702,94.470302,"Nagaland, India",2249695
"210",35625,"IN","IND",356,NA,NA,"Odisha","India",20.505428,84.418059,"Odisha, India",46356334
"211",35626,"IN","IND",356,NA,NA,"Puducherry","India",11.882658,78.86498,"Puducherry, India",1413542
"212",35627,"IN","IND",356,NA,NA,"Punjab","India",30.841465,75.40879,"Punjab, India",30141373
"213",35628,"IN","IND",356,NA,NA,"Rajasthan","India",26.583423,73.847973,"Rajasthan, India",81032689
"214",35629,"IN","IND",356,NA,NA,"Sikkim","India",27.571671,88.472712,"Sikkim, India",690251
"215",35630,"IN","IND",356,NA,NA,"Tamil Nadu","India",11.006091,78.400624,"Tamil Nadu, India",77841267
"216",35631,"IN","IND",356,NA,NA,"Telangana","India",18.1124,79.0193,"Telangana, India",39362732
"217",35632,"IN","IND",356,NA,NA,"Tripura","India",23.746783,91.743565,"Tripura, India",4169794
"218",35633,"IN","IND",356,NA,NA,"Uttar Pradesh","India",26.925425,80.560982,"Uttar Pradesh, India",237882725
"219",35634,"IN","IND",356,NA,NA,"Uttarakhand","India",30.156447,79.197608,"Uttarakhand, India",11250858
"220",35635,"IN","IND",356,NA,NA,"West Bengal","India",23.814082,87.979803,"West Bengal, India",99609303
"221",35636,"IN","IND",356,NA,NA,"Unknown","India",NA,NA,"Unknown, India",NA
"222",35637,"IN","IND",356,NA,NA,"Lakshadweep","India",13.6999972,72.1833326,"Lakshadweep, India",64429
